"health_officer_region","county","mmwr_year","mmwr_week","start_date","end_date","mnth_lbl","total_ca_pop","total_cnty_pop","cumulative_infected","cumulative_severe","new_infections","new_severe","cum_rate_100k","inf_rate_100k","sev_rate_100k"
"Greater Sierra Sacramento","Nevada",2023,51,2023-12-17,2023-12-23,"Dec",39109070,100400,164,0,0,0,163.3,0,0
"Greater Sierra Sacramento","Nevada",2023,52,2023-12-24,2023-12-30,"Dec",39109070,100400,164,0,0,1,163.3,0,1
"Greater Sierra Sacramento","Placer",2023,22,2023-05-28,2023-06-03,"May",39109070,410706,1,0,115,0,0.2,28,0
"Greater Sierra Sacramento","Placer",2023,23,2023-06-04,2023-06-10,"Jun",39109070,410706,3,0,114,0,0.7,27.8,0
"Greater Sierra Sacramento","Placer",2023,24,2023-06-11,2023-06-17,"Jun",39109070,410706,4,0,81,6,1,19.7,1.5
"Greater Sierra Sacramento","Placer",2023,25,2023-06-18,2023-06-24,"Jun",39109070,410706,7,0,271,3,1.7,66,0.7
"Greater Sierra Sacramento","Placer",2023,26,2023-06-25,2023-07-01,"Jun",39109070,410706,9,0,438,0,2.2,106.6,0
"Greater Sierra Sacramento","Placer",2023,27,2023-07-02,2023-07-08,"Jul",39109070,410706,19,0,560,4,4.6,136.4,1
"Greater Sierra Sacramento","Placer",2023,28,2023-07-09,2023-07-15,"Jul",39109070,410706,29,0,696,14,7.1,169.5,3.4
"Greater Sierra Sacramento","Placer",2023,29,2023-07-16,2023-07-22,"Jul",39109070,410706,39,0,564,21,9.5,137.3,5.1
"Greater Sierra Sacramento","Placer",2023,30,2023-07-23,2023-07-29,"Jul",39109070,410706,50,0,600,20,12.2,146.1,4.9
"Greater Sierra Sacramento","Placer",2023,31,2023-07-30,2023-08-05,"Jul",39109070,410706,70,0,1070,21,17,260.5,5.1
"Greater Sierra Sacramento","Placer",2023,32,2023-08-06,2023-08-12,"Aug",39109070,410706,90,0,1042,17,21.9,253.7,4.1
"Greater Sierra Sacramento","Placer",2023,33,2023-08-13,2023-08-19,"Aug",39109070,410706,117,0,1367,30,28.5,332.8,7.3
"Greater Sierra Sacramento","Placer",2023,34,2023-08-20,2023-08-26,"Aug",39109070,410706,156,0,2010,36,38,489.4,8.8
"Greater Sierra Sacramento","Placer",2023,35,2023-08-27,2023-09-02,"Aug",39109070,410706,212,0,3105,47,51.6,756,11.4
"Greater Sierra Sacramento","Placer",2023,36,2023-09-03,2023-09-09,"Sep",39109070,410706,262,0,2975,75,63.8,724.4,18.3
"Greater Sierra Sacramento","Placer",2023,37,2023-09-10,2023-09-16,"Sep",39109070,410706,311,0,2772,89,75.7,674.9,21.7
"Greater Sierra Sacramento","Placer",2023,38,2023-09-17,2023-09-23,"Sep",39109070,410706,363,0,3114,83,88.4,758.2,20.2
"Greater Sierra Sacramento","Placer",2023,39,2023-09-24,2023-09-30,"Sep",39109070,410706,412,0,2582,76,100.3,628.7,18.5
"Greater Sierra Sacramento","Placer",2023,40,2023-10-01,2023-10-07,"Oct",39109070,410706,466,0,2665,92,113.5,648.9,22.4
"Greater Sierra Sacramento","Placer",2023,41,2023-10-08,2023-10-14,"Oct",39109070,410706,515,0,2657,88,125.4,646.9,21.4
"Greater Sierra Sacramento","Placer",2023,42,2023-10-15,2023-10-21,"Oct",39109070,410706,558,0,2659,81,135.9,647.4,19.7
"Greater Sierra Sacramento","Placer",2023,43,2023-10-22,2023-10-28,"Oct",39109070,410706,593,0,2193,92,144.4,534,22.4
"Greater Sierra Sacramento","Placer",2023,44,2023-10-29,2023-11-04,"Oct",39109070,410706,618,0,1385,74,150.5,337.2,18
"Greater Sierra Sacramento","Placer",2023,45,2023-11-05,2023-11-11,"Nov",39109070,410706,635,0,1068,86,154.6,260,20.9
"Greater Sierra Sacramento","Placer",2023,46,2023-11-12,2023-11-18,"Nov",39109070,410706,645,0,410,58,157,99.8,14.1
"Greater Sierra Sacramento","Placer",2023,47,2023-11-19,2023-11-25,"Nov",39109070,410706,645,0,44,35,157,10.7,8.5
"Greater Sierra Sacramento","Placer",2023,48,2023-11-26,2023-12-02,"Nov",39109070,410706,646,0,64,12,157.3,15.6,2.9
"Greater Sierra Sacramento","Placer",2023,49,2023-12-03,2023-12-09,"Dec",39109070,410706,646,0,0,7,157.3,0,1.7
"Greater Sierra Sacramento","Placer",2023,50,2023-12-10,2023-12-16,"Dec",39109070,410706,648,0,58,5,157.8,14.1,1.2
"Greater Sierra Sacramento","Placer",2023,51,2023-12-17,2023-12-23,"Dec",39109070,410706,648,0,0,0,157.8,0,0
"Greater Sierra Sacramento","Placer",2023,52,2023-12-24,2023-12-30,"Dec",39109070,410706,648,0,0,1,157.8,0,0.2
"Greater Sierra Sacramento","Plumas",2023,22,2023-05-28,2023-06-03,"May",39109070,18955,0,0,10,0,0,52.8,0
"Greater Sierra Sacramento","Plumas",2023,23,2023-06-04,2023-06-10,"Jun",39109070,18955,1,0,3,0,5.3,15.8,0
"Greater Sierra Sacramento","Plumas",2023,24,2023-06-11,2023-06-17,"Jun",39109070,18955,1,0,2,0,5.3,10.6,0
"Greater Sierra Sacramento","Plumas",2023,25,2023-06-18,2023-06-24,"Jun",39109070,18955,1,0,9,0,5.3,47.5,0
"Greater Sierra Sacramento","Plumas",2023,26,2023-06-25,2023-07-01,"Jun",39109070,18955,2,0,30,0,10.6,158.3,0
"Greater Sierra Sacramento","Plumas",2023,27,2023-07-02,2023-07-08,"Jul",39109070,18955,2,0,41,0,10.6,216.3,0
"Greater Sierra Sacramento","Plumas",2023,28,2023-07-09,2023-07-15,"Jul",39109070,18955,2,0,52,2,10.6,274.3,10.6
"Greater Sierra Sacramento","Plumas",2023,29,2023-07-16,2023-07-22,"Jul",39109070,18955,2,0,33,2,10.6,174.1,10.6
"Greater Sierra Sacramento","Plumas",2023,30,2023-07-23,2023-07-29,"Jul",39109070,18955,2,0,46,5,10.6,242.7,26.4
"Greater Sierra Sacramento","Plumas",2023,31,2023-07-30,2023-08-05,"Jul",39109070,18955,5,0,71,3,26.4,374.6,15.8
"Greater Sierra Sacramento","Plumas",2023,32,2023-08-06,2023-08-12,"Aug",39109070,18955,5,0,55,3,26.4,290.2,15.8
"Greater Sierra Sacramento","Plumas",2023,33,2023-08-13,2023-08-19,"Aug",39109070,18955,5,0,86,1,26.4,453.7,5.3
"Greater Sierra Sacramento","Plumas",2023,34,2023-08-20,2023-08-26,"Aug",39109070,18955,7,0,131,2,36.9,691.1,10.6
"Greater Sierra Sacramento","Plumas",2023,35,2023-08-27,2023-09-02,"Aug",39109070,18955,8,0,205,1,42.2,1081.5,5.3
"Greater Sierra Sacramento","Plumas",2023,36,2023-09-03,2023-09-09,"Sep",39109070,18955,11,0,203,2,58,1071,10.6
"Greater Sierra Sacramento","Plumas",2023,37,2023-09-10,2023-09-16,"Sep",39109070,18955,16,0,182,8,84.4,960.2,42.2
"Greater Sierra Sacramento","Plumas",2023,38,2023-09-17,2023-09-23,"Sep",39109070,18955,19,0,218,6,100.2,1150.1,31.7
"Greater Sierra Sacramento","Plumas",2023,39,2023-09-24,2023-09-30,"Sep",39109070,18955,22,0,190,11,116.1,1002.4,58
"Greater Sierra Sacramento","Plumas",2023,40,2023-10-01,2023-10-07,"Oct",39109070,18955,25,0,159,12,131.9,838.8,63.3
"Greater Sierra Sacramento","Plumas",2023,41,2023-10-08,2023-10-14,"Oct",39109070,18955,27,0,172,8,142.4,907.4,42.2
"Greater Sierra Sacramento","Plumas",2023,42,2023-10-15,2023-10-21,"Oct",39109070,18955,28,0,193,6,147.7,1018.2,31.7
"Greater Sierra Sacramento","Plumas",2023,43,2023-10-22,2023-10-28,"Oct",39109070,18955,30,0,129,5,158.3,680.6,26.4
"Greater Sierra Sacramento","Plumas",2023,44,2023-10-29,2023-11-04,"Oct",39109070,18955,33,0,105,2,174.1,553.9,10.6
"Greater Sierra Sacramento","Plumas",2023,45,2023-11-05,2023-11-11,"Nov",39109070,18955,33,0,61,6,174.1,321.8,31.7
"Greater Sierra Sacramento","Plumas",2023,46,2023-11-12,2023-11-18,"Nov",39109070,18955,33,0,24,5,174.1,126.6,26.4
"Greater Sierra Sacramento","Plumas",2023,47,2023-11-19,2023-11-25,"Nov",39109070,18955,33,0,3,1,174.1,15.8,5.3
"Greater Sierra Sacramento","Plumas",2023,48,2023-11-26,2023-12-02,"Nov",39109070,18955,33,0,2,3,174.1,10.6,15.8
"Greater Sierra Sacramento","Plumas",2023,49,2023-12-03,2023-12-09,"Dec",39109070,18955,33,0,0,1,174.1,0,5.3
"Greater Sierra Sacramento","Plumas",2023,50,2023-12-10,2023-12-16,"Dec",39109070,18955,33,0,3,0,174.1,15.8,0
"Greater Sierra Sacramento","Plumas",2023,51,2023-12-17,2023-12-23,"Dec",39109070,18955,33,0,0,0,174.1,0,0
"Greater Sierra Sacramento","Plumas",2023,52,2023-12-24,2023-12-30,"Dec",39109070,18955,33,0,0,0,174.1,0,0
"Greater Sierra Sacramento","Sacramento",2023,22,2023-05-28,2023-06-03,"May",39109070,1581831,11,0,972,0,0.7,61.4,0
"Greater Sierra Sacramento","Sacramento",2023,23,2023-06-04,2023-06-10,"Jun",39109070,1581831,19,0,1026,0,1.2,64.9,0
"Greater Sierra Sacramento","Sacramento",2023,24,2023-06-11,2023-06-17,"Jun",39109070,1581831,27,0,861,34,1.7,54.4,2.1
"Greater Sierra Sacramento","Sacramento",2023,25,2023-06-18,2023-06-24,"Jun",39109070,1581831,58,0,2483,24,3.7,157,1.5
"Greater Sierra Sacramento","Sacramento",2023,26,2023-06-25,2023-07-01,"Jun",39109070,1581831,112,0,4165,34,7.1,263.3,2.1
"Greater Sierra Sacramento","Sacramento",2023,27,2023-07-02,2023-07-08,"Jul",39109070,1581831,174,0,4981,53,11,314.9,3.4
"Greater Sierra Sacramento","Sacramento",2023,28,2023-07-09,2023-07-15,"Jul",39109070,1581831,274,0,6204,92,17.3,392.2,5.8
"Greater Sierra Sacramento","Sacramento",2023,29,2023-07-16,2023-07-22,"Jul",39109070,1581831,348,0,4864,129,22,307.5,8.2
"Greater Sierra Sacramento","Sacramento",2023,30,2023-07-23,2023-07-29,"Jul",39109070,1581831,416,0,5287,152,26.3,334.2,9.6
"Greater Sierra Sacramento","Sacramento",2023,31,2023-07-30,2023-08-05,"Jul",39109070,1581831,557,0,9238,142,35.2,584,9
"Greater Sierra Sacramento","Sacramento",2023,32,2023-08-06,2023-08-12,"Aug",39109070,1581831,667,0,9150,143,42.2,578.4,9
"Greater Sierra Sacramento","Sacramento",2023,33,2023-08-13,2023-08-19,"Aug",39109070,1581831,825,0,11655,247,52.2,736.8,15.6
"Greater Sierra Sacramento","Sacramento",2023,34,2023-08-20,2023-08-26,"Aug",39109070,1581831,1094,0,17403,226,69.2,1100.2,14.3
"Greater Sierra Sacramento","Sacramento",2023,35,2023-08-27,2023-09-02,"Aug",39109070,1581831,1501,0,26634,294,94.9,1683.7,18.6
"Greater Sierra Sacramento","Sacramento",2023,36,2023-09-03,2023-09-09,"Sep",39109070,1581831,1883,0,25818,448,119,1632.2,28.3
"Greater Sierra Sacramento","Sacramento",2023,37,2023-09-10,2023-09-16,"Sep",39109070,1581831,2228,0,23792,710,140.8,1504.1,44.9
"Greater Sierra Sacramento","Sacramento",2023,38,2023-09-17,2023-09-23,"Sep",39109070,1581831,2614,0,26275,689,165.3,1661,43.6
"Greater Sierra Sacramento","Sacramento",2023,39,2023-09-24,2023-09-30,"Sep",39109070,1581831,2927,0,21751,698,185,1375.1,44.1
"Greater Sierra Sacramento","Sacramento",2023,40,2023-10-01,2023-10-07,"Oct",39109070,1581831,3276,0,21524,621,207.1,1360.7,39.3
"Greater Sierra Sacramento","Sacramento",2023,41,2023-10-08,2023-10-14,"Oct",39109070,1581831,3599,0,21038,584,227.5,1330,36.9
"Greater Sierra Sacramento","Sacramento",2023,42,2023-10-15,2023-10-21,"Oct",39109070,1581831,3934,0,21628,639,248.7,1367.3,40.4
"Greater Sierra Sacramento","Sacramento",2023,43,2023-10-22,2023-10-28,"Oct",39109070,1581831,4214,0,16933,558,266.4,1070.5,35.3
"Greater Sierra Sacramento","Sacramento",2023,44,2023-10-29,2023-11-04,"Oct",39109070,1581831,4395,0,11301,577,277.8,714.4,36.5
"Greater Sierra Sacramento","Sacramento",2023,45,2023-11-05,2023-11-11,"Nov",39109070,1581831,4521,1,8168,460,285.8,516.4,29.1
"Greater Sierra Sacramento","Sacramento",2023,46,2023-11-12,2023-11-18,"Nov",39109070,1581831,4567,1,2752,337,288.7,174,21.3
"Greater Sierra Sacramento","Sacramento",2023,47,2023-11-19,2023-11-25,"Nov",39109070,1581831,4570,2,346,258,288.9,21.9,16.3
"Greater Sierra Sacramento","Sacramento",2023,48,2023-11-26,2023-12-02,"Nov",39109070,1581831,4581,2,521,114,289.6,32.9,7.2
"Greater Sierra Sacramento","Sacramento",2023,49,2023-12-03,2023-12-09,"Dec",39109070,1581831,4581,2,0,35,289.6,0,2.2
"Greater Sierra Sacramento","Sacramento",2023,50,2023-12-10,2023-12-16,"Dec",39109070,1581831,4589,2,518,15,290.1,32.7,0.9
"Greater Sierra Sacramento","Sacramento",2023,51,2023-12-17,2023-12-23,"Dec",39109070,1581831,4589,2,0,2,290.1,0,0.1
"Greater Sierra Sacramento","Sacramento",2023,52,2023-12-24,2023-12-30,"Dec",39109070,1581831,4589,2,0,8,290.1,0,0.5
"Greater Sierra Sacramento","Sierra",2023,22,2023-05-28,2023-06-03,"May",39109070,3152,0,0,0,0,0,0,0
"Greater Sierra Sacramento","Sierra",2023,23,2023-06-04,2023-06-10,"Jun",39109070,3152,0,0,2,0,0,63.5,0
"Greater Sierra Sacramento","Sierra",2023,24,2023-06-11,2023-06-17,"Jun",39109070,3152,0,0,4,0,0,126.9,0
"Greater Sierra Sacramento","Sierra",2023,25,2023-06-18,2023-06-24,"Jun",39109070,3152,0,0,2,0,0,63.5,0
"Greater Sierra Sacramento","Sierra",2023,26,2023-06-25,2023-07-01,"Jun",39109070,3152,0,0,7,0,0,222.1,0
"Greater Sierra Sacramento","Sierra",2023,27,2023-07-02,2023-07-08,"Jul",39109070,3152,0,0,4,1,0,126.9,31.7
"Greater Sierra Sacramento","Sierra",2023,28,2023-07-09,2023-07-15,"Jul",39109070,3152,1,0,11,0,31.7,349,0
"Greater Sierra Sacramento","Sierra",2023,29,2023-07-16,2023-07-22,"Jul",39109070,3152,1,0,1,1,31.7,31.7,31.7
"Greater Sierra Sacramento","Sierra",2023,30,2023-07-23,2023-07-29,"Jul",39109070,3152,1,0,11,0,31.7,349,0
"Greater Sierra Sacramento","Sierra",2023,31,2023-07-30,2023-08-05,"Jul",39109070,3152,1,0,7,0,31.7,222.1,0
"Greater Sierra Sacramento","Sierra",2023,32,2023-08-06,2023-08-12,"Aug",39109070,3152,1,0,14,0,31.7,444.2,0
"Greater Sierra Sacramento","Sierra",2023,33,2023-08-13,2023-08-19,"Aug",39109070,3152,1,0,11,1,31.7,349,31.7
"Greater Sierra Sacramento","Sierra",2023,34,2023-08-20,2023-08-26,"Aug",39109070,3152,1,0,21,0,31.7,666.2,0
"Greater Sierra Sacramento","Sierra",2023,35,2023-08-27,2023-09-02,"Aug",39109070,3152,1,0,36,0,31.7,1142.1,0
"Greater Sierra Sacramento","Sierra",2023,36,2023-09-03,2023-09-09,"Sep",39109070,3152,2,0,45,1,63.5,1427.7,31.7
"Greater Sierra Sacramento","Sierra",2023,37,2023-09-10,2023-09-16,"Sep",39109070,3152,2,0,23,1,63.5,729.7,31.7
"Greater Sierra Sacramento","Sierra",2023,38,2023-09-17,2023-09-23,"Sep",39109070,3152,2,0,42,1,63.5,1332.5,31.7
"Greater Sierra Sacramento","Sierra",2023,39,2023-09-24,2023-09-30,"Sep",39109070,3152,3,0,24,0,95.2,761.4,0
"Greater Sierra Sacramento","Sierra",2023,40,2023-10-01,2023-10-07,"Oct",39109070,3152,3,0,23,3,95.2,729.7,95.2
"Greater Sierra Sacramento","Sierra",2023,41,2023-10-08,2023-10-14,"Oct",39109070,3152,3,0,33,2,95.2,1047,63.5
"Greater Sierra Sacramento","Sierra",2023,42,2023-10-15,2023-10-21,"Oct",39109070,3152,5,0,30,2,158.6,951.8,63.5
"Greater Sierra Sacramento","Sierra",2023,43,2023-10-22,2023-10-28,"Oct",39109070,3152,6,0,19,1,190.4,602.8,31.7
"Greater Sierra Sacramento","Sierra",2023,44,2023-10-29,2023-11-04,"Oct",39109070,3152,6,0,24,2,190.4,761.4,63.5
"Greater Sierra Sacramento","Sierra",2023,45,2023-11-05,2023-11-11,"Nov",39109070,3152,6,0,8,1,190.4,253.8,31.7
"Greater Sierra Sacramento","Sierra",2023,46,2023-11-12,2023-11-18,"Nov",39109070,3152,6,0,1,4,190.4,31.7,126.9
"Greater Sierra Sacramento","Sierra",2023,47,2023-11-19,2023-11-25,"Nov",39109070,3152,6,0,1,0,190.4,31.7,0
"Greater Sierra Sacramento","Sierra",2023,48,2023-11-26,2023-12-02,"Nov",39109070,3152,6,0,0,0,190.4,0,0
"Greater Sierra Sacramento","Sierra",2023,49,2023-12-03,2023-12-09,"Dec",39109070,3152,6,0,0,0,190.4,0,0
"Greater Sierra Sacramento","Sierra",2023,50,2023-12-10,2023-12-16,"Dec",39109070,3152,6,0,0,0,190.4,0,0
"Greater Sierra Sacramento","Sierra",2023,51,2023-12-17,2023-12-23,"Dec",39109070,3152,6,0,0,0,190.4,0,0
"Greater Sierra Sacramento","Sierra",2023,52,2023-12-24,2023-12-30,"Dec",39109070,3152,6,0,0,0,190.4,0,0
"Greater Sierra Sacramento","Sutter",2023,22,2023-05-28,2023-06-03,"May",39109070,98151,0,0,69,0,0,70.3,0
"Greater Sierra Sacramento","Sutter",2023,23,2023-06-04,2023-06-10,"Jun",39109070,98151,0,0,47,0,0,47.9,0
"Greater Sierra Sacramento","Sutter",2023,24,2023-06-11,2023-06-17,"Jun",39109070,98151,1,0,59,1,1,60.1,1
"Greater Sierra Sacramento","Sutter",2023,25,2023-06-18,2023-06-24,"Jun",39109070,98151,3,0,147,1,3.1,149.8,1
"Greater Sierra Sacramento","Sutter",2023,26,2023-06-25,2023-07-01,"Jun",39109070,98151,6,0,242,0,6.1,246.6,0
"Greater Sierra Sacramento","Sutter",2023,27,2023-07-02,2023-07-08,"Jul",39109070,98151,10,0,318,1,10.2,324,1
"Greater Sierra Sacramento","Sutter",2023,28,2023-07-09,2023-07-15,"Jul",39109070,98151,16,0,407,3,16.3,414.7,3.1
"Greater Sierra Sacramento","Sutter",2023,29,2023-07-16,2023-07-22,"Jul",39109070,98151,20,0,306,10,20.4,311.8,10.2
"Greater Sierra Sacramento","Sutter",2023,30,2023-07-23,2023-07-29,"Jul",39109070,98151,24,0,327,16,24.5,333.2,16.3
"Greater Sierra Sacramento","Sutter",2023,31,2023-07-30,2023-08-05,"Jul",39109070,98151,35,0,553,3,35.7,563.4,3.1
"Greater Sierra Sacramento","Sutter",2023,32,2023-08-06,2023-08-12,"Aug",39109070,98151,45,1,597,8,45.8,608.2,8.2
"Greater Sierra Sacramento","Sutter",2023,33,2023-08-13,2023-08-19,"Aug",39109070,98151,61,1,698,13,62.1,711.1,13.2
"Greater Sierra Sacramento","Sutter",2023,34,2023-08-20,2023-08-26,"Aug",39109070,98151,70,1,1083,20,71.3,1103.4,20.4
"Greater Sierra Sacramento","Sutter",2023,35,2023-08-27,2023-09-02,"Aug",39109070,98151,93,1,1619,23,94.8,1649.5,23.4
"Greater Sierra Sacramento","Sutter",2023,36,2023-09-03,2023-09-09,"Sep",39109070,98151,120,1,1560,38,122.3,1589.4,38.7
"Greater Sierra Sacramento","Sutter",2023,37,2023-09-10,2023-09-16,"Sep",39109070,98151,141,1,1496,43,143.7,1524.2,43.8
"Greater Sierra Sacramento","Sutter",2023,38,2023-09-17,2023-09-23,"Sep",39109070,98151,172,1,1622,37,175.2,1652.6,37.7
"Greater Sierra Sacramento","Sutter",2023,39,2023-09-24,2023-09-30,"Sep",39109070,98151,190,1,1297,44,193.6,1321.4,44.8
"Greater Sierra Sacramento","Sutter",2023,40,2023-10-01,2023-10-07,"Oct",39109070,98151,213,1,1318,38,217,1342.8,38.7
"Greater Sierra Sacramento","Sutter",2023,41,2023-10-08,2023-10-14,"Oct",39109070,98151,230,1,1296,36,234.3,1320.4,36.7
"Greater Sierra Sacramento","Sutter",2023,42,2023-10-15,2023-10-21,"Oct",39109070,98151,247,1,1288,41,251.7,1312.3,41.8
"Greater Sierra Sacramento","Sutter",2023,43,2023-10-22,2023-10-28,"Oct",39109070,98151,261,1,1058,32,265.9,1077.9,32.6
"Greater Sierra Sacramento","Sutter",2023,44,2023-10-29,2023-11-04,"Oct",39109070,98151,278,1,683,34,283.2,695.9,34.6
"Greater Sierra Sacramento","Sutter",2023,45,2023-11-05,2023-11-11,"Nov",39109070,98151,289,1,460,34,294.4,468.7,34.6
"Greater Sierra Sacramento","Sutter",2023,46,2023-11-12,2023-11-18,"Nov",39109070,98151,291,1,158,23,296.5,161,23.4
"Greater Sierra Sacramento","Sutter",2023,47,2023-11-19,2023-11-25,"Nov",39109070,98151,291,1,25,9,296.5,25.5,9.2
"Greater Sierra Sacramento","Sutter",2023,48,2023-11-26,2023-12-02,"Nov",39109070,98151,293,1,32,7,298.5,32.6,7.1
"Greater Sierra Sacramento","Sutter",2023,49,2023-12-03,2023-12-09,"Dec",39109070,98151,293,1,0,1,298.5,0,1
"Greater Sierra Sacramento","Sutter",2023,50,2023-12-10,2023-12-16,"Dec",39109070,98151,293,1,29,2,298.5,29.5,2
"Greater Sierra Sacramento","Sutter",2023,51,2023-12-17,2023-12-23,"Dec",39109070,98151,293,1,0,0,298.5,0,0
"Greater Sierra Sacramento","Sutter",2023,52,2023-12-24,2023-12-30,"Dec",39109070,98151,293,1,0,1,298.5,0,1
"Greater Sierra Sacramento","Yolo",2023,22,2023-05-28,2023-06-03,"May",39109070,220381,1,0,62,0,0.5,28.1,0
"Greater Sierra Sacramento","Yolo",2023,23,2023-06-04,2023-06-10,"Jun",39109070,220381,1,0,69,0,0.5,31.3,0
"Greater Sierra Sacramento","Yolo",2023,24,2023-06-11,2023-06-17,"Jun",39109070,220381,2,0,64,1,0.9,29,0.5
"Greater Sierra Sacramento","Yolo",2023,25,2023-06-18,2023-06-24,"Jun",39109070,220381,5,0,175,2,2.3,79.4,0.9
"Greater Sierra Sacramento","Yolo",2023,26,2023-06-25,2023-07-01,"Jun",39109070,220381,10,0,300,3,4.5,136.1,1.4
"Greater Sierra Sacramento","Yolo",2023,27,2023-07-02,2023-07-08,"Jul",39109070,220381,16,0,314,4,7.3,142.5,1.8
"Greater Sierra Sacramento","Yolo",2023,28,2023-07-09,2023-07-15,"Jul",39109070,220381,22,0,450,9,10,204.2,4.1
"Greater Sierra Sacramento","Yolo",2023,29,2023-07-16,2023-07-22,"Jul",39109070,220381,25,0,382,11,11.3,173.3,5
"Greater Sierra Sacramento","Yolo",2023,30,2023-07-23,2023-07-29,"Jul",39109070,220381,34,0,374,9,15.4,169.7,4.1
"Greater Sierra Sacramento","Yolo",2023,31,2023-07-30,2023-08-05,"Jul",39109070,220381,46,0,698,7,20.9,316.7,3.2
"Greater Sierra Sacramento","Yolo",2023,32,2023-08-06,2023-08-12,"Aug",39109070,220381,58,0,635,15,26.3,288.1,6.8
"Greater Sierra Sacramento","Yolo",2023,33,2023-08-13,2023-08-19,"Aug",39109070,220381,70,0,799,15,31.8,362.6,6.8
"Greater Sierra Sacramento","Yolo",2023,34,2023-08-20,2023-08-26,"Aug",39109070,220381,86,0,1205,17,39,546.8,7.7
"Greater Sierra Sacramento","Yolo",2023,35,2023-08-27,2023-09-02,"Aug",39109070,220381,110,0,1843,20,49.9,836.3,9.1
"Greater Sierra Sacramento","Yolo",2023,36,2023-09-03,2023-09-09,"Sep",39109070,220381,130,0,1853,24,59,840.8,10.9
"Greater Sierra Sacramento","Yolo",2023,37,2023-09-10,2023-09-16,"Sep",39109070,220381,145,0,1694,43,65.8,768.7,19.5
"Greater Sierra Sacramento","Yolo",2023,38,2023-09-17,2023-09-23,"Sep",39109070,220381,175,0,1910,44,79.4,866.7,20
"Greater Sierra Sacramento","Yolo",2023,39,2023-09-24,2023-09-30,"Sep",39109070,220381,192,0,1656,42,87.1,751.4,19.1
"Greater Sierra Sacramento","Yolo",2023,40,2023-10-01,2023-10-07,"Oct",39109070,220381,207,0,1604,42,93.9,727.8,19.1
"Greater Sierra Sacramento","Yolo",2023,41,2023-10-08,2023-10-14,"Oct",39109070,220381,230,0,1573,44,104.4,713.8,20
"Greater Sierra Sacramento","Yolo",2023,42,2023-10-15,2023-10-21,"Oct",39109070,220381,250,0,1658,33,113.4,752.3,15
"Greater Sierra Sacramento","Yolo",2023,43,2023-10-22,2023-10-28,"Oct",39109070,220381,271,0,1281,34,123,581.3,15.4
"Greater Sierra Sacramento","Yolo",2023,44,2023-10-29,2023-11-04,"Oct",39109070,220381,287,0,918,50,130.2,416.6,22.7
"Greater Sierra Sacramento","Yolo",2023,45,2023-11-05,2023-11-11,"Nov",39109070,220381,299,0,629,30,135.7,285.4,13.6
"Greater Sierra Sacramento","Yolo",2023,46,2023-11-12,2023-11-18,"Nov",39109070,220381,300,0,229,26,136.1,103.9,11.8
"Greater Sierra Sacramento","Yolo",2023,47,2023-11-19,2023-11-25,"Nov",39109070,220381,300,0,27,24,136.1,12.3,10.9
"Greater Sierra Sacramento","Yolo",2023,48,2023-11-26,2023-12-02,"Nov",39109070,220381,300,0,31,15,136.1,14.1,6.8
"Greater Sierra Sacramento","Yolo",2023,49,2023-12-03,2023-12-09,"Dec",39109070,220381,300,0,0,2,136.1,0,0.9
"Greater Sierra Sacramento","Yolo",2023,50,2023-12-10,2023-12-16,"Dec",39109070,220381,300,0,37,1,136.1,16.8,0.5
"Greater Sierra Sacramento","Yolo",2023,51,2023-12-17,2023-12-23,"Dec",39109070,220381,300,0,0,0,136.1,0,0
"Greater Sierra Sacramento","Yolo",2023,52,2023-12-24,2023-12-30,"Dec",39109070,220381,300,0,0,0,136.1,0,0
"Greater Sierra Sacramento","Yuba",2023,22,2023-05-28,2023-06-03,"May",39109070,83297,1,0,32,0,1.2,38.4,0
"Greater Sierra Sacramento","Yuba",2023,23,2023-06-04,2023-06-10,"Jun",39109070,83297,1,0,39,0,1.2,46.8,0
"Greater Sierra Sacramento","Yuba",2023,24,2023-06-11,2023-06-17,"Jun",39109070,83297,3,0,38,0,3.6,45.6,0
"Greater Sierra Sacramento","Yuba",2023,25,2023-06-18,2023-06-24,"Jun",39109070,83297,4,0,98,2,4.8,117.7,2.4
"Greater Sierra Sacramento","Yuba",2023,26,2023-06-25,2023-07-01,"Jun",39109070,83297,7,0,168,3,8.4,201.7,3.6
"Greater Sierra Sacramento","Yuba",2023,27,2023-07-02,2023-07-08,"Jul",39109070,83297,10,0,236,4,12,283.3,4.8
"Greater Sierra Sacramento","Yuba",2023,28,2023-07-09,2023-07-15,"Jul",39109070,83297,16,0,285,5,19.2,342.1,6
"Greater Sierra Sacramento","Yuba",2023,29,2023-07-16,2023-07-22,"Jul",39109070,83297,22,0,219,4,26.4,262.9,4.8
"Greater Sierra Sacramento","Yuba",2023,30,2023-07-23,2023-07-29,"Jul",39109070,83297,28,0,228,10,33.6,273.7,12
"Greater Sierra Sacramento","Yuba",2023,31,2023-07-30,2023-08-05,"Jul",39109070,83297,37,0,427,5,44.4,512.6,6
"Greater Sierra Sacramento","Yuba",2023,32,2023-08-06,2023-08-12,"Aug",39109070,83297,47,0,459,4,56.4,551,4.8
"Greater Sierra Sacramento","Yuba",2023,33,2023-08-13,2023-08-19,"Aug",39109070,83297,56,0,535,7,67.2,642.3,8.4
