"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks","inf_rate_breaks","sev_case_breaks","sev_rate_breaks"
"Greater Sierra Sacramento","Nevada",47,2023-11-19,2023-11-25,9848,393,100400,980.9,39.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Nevada",48,2023-11-26,2023-12-02,9861,397,100400,982.2,39.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Nevada",49,2023-12-03,2023-12-09,9861,398,100400,982.2,39.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Nevada",50,2023-12-10,2023-12-16,9876,398,100400,983.7,39.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Nevada",51,2023-12-17,2023-12-23,9876,398,100400,983.7,39.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Nevada",52,2023-12-24,2023-12-30,9876,399,100400,983.7,39.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",22,2023-05-28,2023-06-03,115,0,410706,2.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",23,2023-06-04,2023-06-10,229,0,410706,5.6,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",24,2023-06-11,2023-06-17,310,6,410706,7.5,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",25,2023-06-18,2023-06-24,581,9,410706,14.1,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",26,2023-06-25,2023-07-01,1019,9,410706,24.8,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",27,2023-07-02,2023-07-08,1579,13,410706,38.4,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",28,2023-07-09,2023-07-15,2275,27,410706,55.4,0.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",29,2023-07-16,2023-07-22,2839,48,410706,69.1,1.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",30,2023-07-23,2023-07-29,3439,68,410706,83.7,1.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",31,2023-07-30,2023-08-05,4509,89,410706,109.8,2.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",32,2023-08-06,2023-08-12,5551,106,410706,135.2,2.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",33,2023-08-13,2023-08-19,6918,136,410706,168.4,3.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",34,2023-08-20,2023-08-26,8928,172,410706,217.4,4.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",35,2023-08-27,2023-09-02,12033,219,410706,293,5.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",36,2023-09-03,2023-09-09,15008,294,410706,365.4,7.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",37,2023-09-10,2023-09-16,17780,383,410706,432.9,9.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",38,2023-09-17,2023-09-23,20894,466,410706,508.7,11.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",39,2023-09-24,2023-09-30,23476,542,410706,571.6,13.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",40,2023-10-01,2023-10-07,26141,634,410706,636.5,15.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",41,2023-10-08,2023-10-14,28798,722,410706,701.2,17.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",42,2023-10-15,2023-10-21,31457,803,410706,765.9,19.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",43,2023-10-22,2023-10-28,33650,895,410706,819.3,21.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Placer",44,2023-10-29,2023-11-04,35035,969,410706,853,23.6,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",45,2023-11-05,2023-11-11,36103,1055,410706,879,25.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",46,2023-11-12,2023-11-18,36513,1113,410706,889,27.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",47,2023-11-19,2023-11-25,36557,1148,410706,890.1,28,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",48,2023-11-26,2023-12-02,36621,1160,410706,891.7,28.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",49,2023-12-03,2023-12-09,36621,1167,410706,891.7,28.4,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",50,2023-12-10,2023-12-16,36679,1172,410706,893.1,28.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",51,2023-12-17,2023-12-23,36679,1172,410706,893.1,28.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Placer",52,2023-12-24,2023-12-30,36679,1173,410706,893.1,28.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",22,2023-05-28,2023-06-03,10,0,18955,5.3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",23,2023-06-04,2023-06-10,13,0,18955,6.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",24,2023-06-11,2023-06-17,15,0,18955,7.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",25,2023-06-18,2023-06-24,24,0,18955,12.7,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",26,2023-06-25,2023-07-01,54,0,18955,28.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",27,2023-07-02,2023-07-08,95,0,18955,50.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",28,2023-07-09,2023-07-15,147,2,18955,77.6,1.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",29,2023-07-16,2023-07-22,180,4,18955,95,2.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",30,2023-07-23,2023-07-29,226,9,18955,119.2,4.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",31,2023-07-30,2023-08-05,297,12,18955,156.7,6.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",32,2023-08-06,2023-08-12,352,15,18955,185.7,7.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",33,2023-08-13,2023-08-19,438,16,18955,231.1,8.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",34,2023-08-20,2023-08-26,569,18,18955,300.2,9.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",35,2023-08-27,2023-09-02,774,19,18955,408.3,10,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",36,2023-09-03,2023-09-09,977,21,18955,515.4,11.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",37,2023-09-10,2023-09-16,1159,29,18955,611.4,15.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",38,2023-09-17,2023-09-23,1377,35,18955,726.5,18.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Plumas",39,2023-09-24,2023-09-30,1567,46,18955,826.7,24.3,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",40,2023-10-01,2023-10-07,1726,58,18955,910.6,30.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",41,2023-10-08,2023-10-14,1898,66,18955,1001.3,34.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",42,2023-10-15,2023-10-21,2091,72,18955,1103.1,38,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",43,2023-10-22,2023-10-28,2220,77,18955,1171.2,40.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",44,2023-10-29,2023-11-04,2325,79,18955,1226.6,41.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Plumas",45,2023-11-05,2023-11-11,2386,85,18955,1258.8,44.8,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",46,2023-11-12,2023-11-18,2410,90,18955,1271.4,47.5,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",47,2023-11-19,2023-11-25,2413,91,18955,1273,48,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",48,2023-11-26,2023-12-02,2415,94,18955,1274.1,49.6,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",49,2023-12-03,2023-12-09,2415,95,18955,1274.1,50.1,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",50,2023-12-10,2023-12-16,2418,95,18955,1275.7,50.1,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",51,2023-12-17,2023-12-23,2418,95,18955,1275.7,50.1,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Plumas",52,2023-12-24,2023-12-30,2418,95,18955,1275.7,50.1,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sacramento",22,2023-05-28,2023-06-03,972,0,1581831,6.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",23,2023-06-04,2023-06-10,1998,0,1581831,12.6,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",24,2023-06-11,2023-06-17,2859,34,1581831,18.1,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",25,2023-06-18,2023-06-24,5342,58,1581831,33.8,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",26,2023-06-25,2023-07-01,9507,92,1581831,60.1,0.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",27,2023-07-02,2023-07-08,14488,145,1581831,91.6,0.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",28,2023-07-09,2023-07-15,20692,237,1581831,130.8,1.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",29,2023-07-16,2023-07-22,25556,366,1581831,161.6,2.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",30,2023-07-23,2023-07-29,30843,518,1581831,195,3.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",31,2023-07-30,2023-08-05,40081,660,1581831,253.4,4.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",32,2023-08-06,2023-08-12,49231,803,1581831,311.2,5.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",33,2023-08-13,2023-08-19,60886,1050,1581831,384.9,6.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",34,2023-08-20,2023-08-26,78289,1276,1581831,494.9,8.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",35,2023-08-27,2023-09-02,104923,1570,1581831,663.3,9.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",36,2023-09-03,2023-09-09,130741,2018,1581831,826.5,12.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",37,2023-09-10,2023-09-16,154533,2728,1581831,976.9,17.2,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",38,2023-09-17,2023-09-23,180808,3417,1581831,1143,21.6,"177K - 354K","875 - 2K","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sacramento",39,2023-09-24,2023-09-30,202559,4115,1581831,1280.5,26,"177K - 354K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sacramento",40,2023-10-01,2023-10-07,224083,4736,1581831,1416.6,29.9,"177K - 354K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sacramento",41,2023-10-08,2023-10-14,245121,5320,1581831,1549.6,33.6,"177K - 354K","875 - 2K","5K - 10K","22 - 44"
"Greater Sierra Sacramento","Sacramento",42,2023-10-15,2023-10-21,266749,5959,1581831,1686.3,37.7,"177K - 354K","875 - 2K","5K - 10K","22 - 44"
"Greater Sierra Sacramento","Sacramento",43,2023-10-22,2023-10-28,283682,6517,1581831,1793.4,41.2,"177K - 354K","2K - 3K","5K - 10K","22 - 44"
"Greater Sierra Sacramento","Sacramento",44,2023-10-29,2023-11-04,294983,7094,1581831,1864.8,44.8,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",45,2023-11-05,2023-11-11,303151,7554,1581831,1916.5,47.8,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",46,2023-11-12,2023-11-18,305903,7891,1581831,1933.9,49.9,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",47,2023-11-19,2023-11-25,306249,8149,1581831,1936,51.5,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",48,2023-11-26,2023-12-02,306770,8263,1581831,1939.3,52.2,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",49,2023-12-03,2023-12-09,306770,8298,1581831,1939.3,52.5,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",50,2023-12-10,2023-12-16,307288,8313,1581831,1942.6,52.6,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",51,2023-12-17,2023-12-23,307288,8315,1581831,1942.6,52.6,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sacramento",52,2023-12-24,2023-12-30,307288,8323,1581831,1942.6,52.6,"177K - 354K","2K - 3K","5K - 10K","44 - 66"
"Greater Sierra Sacramento","Sierra",22,2023-05-28,2023-06-03,0,0,3152,0,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",23,2023-06-04,2023-06-10,2,0,3152,6.3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",24,2023-06-11,2023-06-17,6,0,3152,19,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",25,2023-06-18,2023-06-24,8,0,3152,25.4,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",26,2023-06-25,2023-07-01,15,0,3152,47.6,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",27,2023-07-02,2023-07-08,19,1,3152,60.3,3.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",28,2023-07-09,2023-07-15,30,1,3152,95.2,3.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",29,2023-07-16,2023-07-22,31,2,3152,98.4,6.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",30,2023-07-23,2023-07-29,42,2,3152,133.2,6.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",31,2023-07-30,2023-08-05,49,2,3152,155.5,6.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",32,2023-08-06,2023-08-12,63,2,3152,199.9,6.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",33,2023-08-13,2023-08-19,74,3,3152,234.8,9.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",34,2023-08-20,2023-08-26,95,3,3152,301.4,9.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",35,2023-08-27,2023-09-02,131,3,3152,415.6,9.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",36,2023-09-03,2023-09-09,176,4,3152,558.4,12.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",37,2023-09-10,2023-09-16,199,5,3152,631.3,15.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",38,2023-09-17,2023-09-23,241,6,3152,764.6,19,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",39,2023-09-24,2023-09-30,265,6,3152,840.7,19,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sierra",40,2023-10-01,2023-10-07,288,9,3152,913.7,28.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sierra",41,2023-10-08,2023-10-14,321,11,3152,1018.4,34.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sierra",42,2023-10-15,2023-10-21,351,13,3152,1113.6,41.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sierra",43,2023-10-22,2023-10-28,370,14,3152,1173.9,44.4,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sierra",44,2023-10-29,2023-11-04,394,16,3152,1250,50.8,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sierra",45,2023-11-05,2023-11-11,402,17,3152,1275.4,53.9,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sierra",46,2023-11-12,2023-11-18,403,21,3152,1278.6,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sierra",47,2023-11-19,2023-11-25,404,21,3152,1281.7,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sierra",48,2023-11-26,2023-12-02,404,21,3152,1281.7,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sierra",49,2023-12-03,2023-12-09,404,21,3152,1281.7,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sierra",50,2023-12-10,2023-12-16,404,21,3152,1281.7,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sierra",51,2023-12-17,2023-12-23,404,21,3152,1281.7,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sierra",52,2023-12-24,2023-12-30,404,21,3152,1281.7,66.6,"0 - 177K","875 - 2K","0 - 5K","66 - 88"
"Greater Sierra Sacramento","Sutter",22,2023-05-28,2023-06-03,69,0,98151,7,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",23,2023-06-04,2023-06-10,116,0,98151,11.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",24,2023-06-11,2023-06-17,175,1,98151,17.8,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",25,2023-06-18,2023-06-24,322,2,98151,32.8,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",26,2023-06-25,2023-07-01,564,2,98151,57.5,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",27,2023-07-02,2023-07-08,882,3,98151,89.9,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",28,2023-07-09,2023-07-15,1289,6,98151,131.3,0.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",29,2023-07-16,2023-07-22,1595,16,98151,162.5,1.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",30,2023-07-23,2023-07-29,1922,32,98151,195.8,3.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",31,2023-07-30,2023-08-05,2475,35,98151,252.2,3.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",32,2023-08-06,2023-08-12,3072,43,98151,313,4.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",33,2023-08-13,2023-08-19,3770,56,98151,384.1,5.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",34,2023-08-20,2023-08-26,4853,76,98151,494.4,7.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",35,2023-08-27,2023-09-02,6472,99,98151,659.4,10.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",36,2023-09-03,2023-09-09,8032,137,98151,818.3,14,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",37,2023-09-10,2023-09-16,9528,180,98151,970.7,18.3,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",38,2023-09-17,2023-09-23,11150,217,98151,1136,22.1,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Sutter",39,2023-09-24,2023-09-30,12447,261,98151,1268.1,26.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sutter",40,2023-10-01,2023-10-07,13765,299,98151,1402.4,30.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sutter",41,2023-10-08,2023-10-14,15061,335,98151,1534.5,34.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sutter",42,2023-10-15,2023-10-21,16349,376,98151,1665.7,38.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sutter",43,2023-10-22,2023-10-28,17407,408,98151,1773.5,41.6,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Greater Sierra Sacramento","Sutter",44,2023-10-29,2023-11-04,18090,442,98151,1843.1,45,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",45,2023-11-05,2023-11-11,18550,476,98151,1889.9,48.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",46,2023-11-12,2023-11-18,18708,499,98151,1906,50.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",47,2023-11-19,2023-11-25,18733,508,98151,1908.6,51.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",48,2023-11-26,2023-12-02,18765,515,98151,1911.9,52.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",49,2023-12-03,2023-12-09,18765,516,98151,1911.9,52.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",50,2023-12-10,2023-12-16,18794,518,98151,1914.8,52.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",51,2023-12-17,2023-12-23,18794,518,98151,1914.8,52.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Sutter",52,2023-12-24,2023-12-30,18794,519,98151,1914.8,52.9,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Greater Sierra Sacramento","Yolo",22,2023-05-28,2023-06-03,62,0,220381,2.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",23,2023-06-04,2023-06-10,131,0,220381,5.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",24,2023-06-11,2023-06-17,195,1,220381,8.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",25,2023-06-18,2023-06-24,370,3,220381,16.8,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",26,2023-06-25,2023-07-01,670,6,220381,30.4,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",27,2023-07-02,2023-07-08,984,10,220381,44.6,0.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",28,2023-07-09,2023-07-15,1434,19,220381,65.1,0.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",29,2023-07-16,2023-07-22,1816,30,220381,82.4,1.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",30,2023-07-23,2023-07-29,2190,39,220381,99.4,1.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",31,2023-07-30,2023-08-05,2888,46,220381,131,2.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",32,2023-08-06,2023-08-12,3523,61,220381,159.9,2.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",33,2023-08-13,2023-08-19,4322,76,220381,196.1,3.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",34,2023-08-20,2023-08-26,5527,93,220381,250.8,4.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Greater Sierra Sacramento","Yolo",35,2023-08-27,2023-09-02,7370,113,220381,334.4,5.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
