"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks"
"Greater Sierra Sacramento","El Dorado",35,2023-08-27,2023-09-02,6163,101,187285,3290.7,53.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","El Dorado",36,2023-09-03,2023-09-09,7664,139,187285,4092.2,74.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","El Dorado",37,2023-09-10,2023-09-16,9109,199,187285,4863.7,106.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","El Dorado",38,2023-09-17,2023-09-23,10818,258,187285,5776.2,137.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","El Dorado",39,2023-09-24,2023-09-30,12195,312,187285,6511.5,166.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","El Dorado",40,2023-10-01,2023-10-07,13577,386,187285,7249.4,206.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","El Dorado",41,2023-10-08,2023-10-14,14912,436,187285,7962.2,232.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",42,2023-10-15,2023-10-21,16277,499,187285,8691,266.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",43,2023-10-22,2023-10-28,17378,545,187285,9278.9,291,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",44,2023-10-29,2023-11-04,18133,598,187285,9682,319.3,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",45,2023-11-05,2023-11-11,18668,631,187285,9967.7,336.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",46,2023-11-12,2023-11-18,18833,667,187285,10055.8,356.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",47,2023-11-19,2023-11-25,18859,689,187285,10069.7,367.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",48,2023-11-26,2023-12-02,18890,700,187285,10086.2,373.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",49,2023-12-03,2023-12-09,18890,702,187285,10086.2,374.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",50,2023-12-10,2023-12-16,18918,704,187285,10101.2,375.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",51,2023-12-17,2023-12-23,18918,705,187285,10101.2,376.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","El Dorado",52,2023-12-24,2023-12-30,18918,706,187285,10101.2,377,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",22,2023-05-28,2023-06-03,35,0,100400,34.9,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",23,2023-06-04,2023-06-10,60,0,100400,59.8,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",24,2023-06-11,2023-06-17,84,1,100400,83.7,1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",25,2023-06-18,2023-06-24,166,1,100400,165.3,1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",26,2023-06-25,2023-07-01,291,2,100400,289.8,2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",27,2023-07-02,2023-07-08,420,4,100400,418.3,4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",28,2023-07-09,2023-07-15,600,7,100400,597.6,7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",29,2023-07-16,2023-07-22,733,11,100400,730.1,11,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",30,2023-07-23,2023-07-29,876,22,100400,872.5,21.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",31,2023-07-30,2023-08-05,1167,27,100400,1162.4,26.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",32,2023-08-06,2023-08-12,1446,35,100400,1440.2,34.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",33,2023-08-13,2023-08-19,1782,50,100400,1774.9,49.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",34,2023-08-20,2023-08-26,2299,61,100400,2289.8,60.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",35,2023-08-27,2023-09-02,3156,76,100400,3143.4,75.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",36,2023-09-03,2023-09-09,3939,96,100400,3923.3,95.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",37,2023-09-10,2023-09-16,4739,123,100400,4720.1,122.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",38,2023-09-17,2023-09-23,5613,156,100400,5590.6,155.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",39,2023-09-24,2023-09-30,6319,179,100400,6293.8,178.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Nevada",40,2023-10-01,2023-10-07,7054,222,100400,7025.9,221.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",41,2023-10-08,2023-10-14,7824,256,100400,7792.8,255,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",42,2023-10-15,2023-10-21,8550,289,100400,8515.9,287.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",43,2023-10-22,2023-10-28,9096,324,100400,9059.8,322.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",44,2023-10-29,2023-11-04,9489,351,100400,9451.2,349.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",45,2023-11-05,2023-11-11,9754,369,100400,9715.1,367.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",46,2023-11-12,2023-11-18,9837,384,100400,9797.8,382.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",47,2023-11-19,2023-11-25,9848,393,100400,9808.8,391.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",48,2023-11-26,2023-12-02,9861,397,100400,9821.7,395.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",49,2023-12-03,2023-12-09,9861,398,100400,9821.7,396.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",50,2023-12-10,2023-12-16,9876,398,100400,9836.7,396.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",51,2023-12-17,2023-12-23,9876,398,100400,9836.7,396.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Nevada",52,2023-12-24,2023-12-30,9876,399,100400,9836.7,397.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",22,2023-05-28,2023-06-03,115,0,410706,28,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",23,2023-06-04,2023-06-10,229,0,410706,55.8,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",24,2023-06-11,2023-06-17,310,6,410706,75.5,1.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",25,2023-06-18,2023-06-24,581,9,410706,141.5,2.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",26,2023-06-25,2023-07-01,1019,9,410706,248.1,2.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",27,2023-07-02,2023-07-08,1579,13,410706,384.5,3.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",28,2023-07-09,2023-07-15,2275,27,410706,553.9,6.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",29,2023-07-16,2023-07-22,2839,48,410706,691.2,11.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",30,2023-07-23,2023-07-29,3439,68,410706,837.3,16.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",31,2023-07-30,2023-08-05,4509,89,410706,1097.9,21.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",32,2023-08-06,2023-08-12,5551,106,410706,1351.6,25.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",33,2023-08-13,2023-08-19,6918,136,410706,1684.4,33.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",34,2023-08-20,2023-08-26,8928,172,410706,2173.8,41.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",35,2023-08-27,2023-09-02,12033,219,410706,2929.8,53.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",36,2023-09-03,2023-09-09,15008,294,410706,3654.2,71.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",37,2023-09-10,2023-09-16,17780,383,410706,4329.1,93.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",38,2023-09-17,2023-09-23,20894,466,410706,5087.3,113.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",39,2023-09-24,2023-09-30,23476,542,410706,5716,132,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",40,2023-10-01,2023-10-07,26141,634,410706,6364.9,154.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",41,2023-10-08,2023-10-14,28798,722,410706,7011.8,175.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",42,2023-10-15,2023-10-21,31457,803,410706,7659.3,195.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",43,2023-10-22,2023-10-28,33650,895,410706,8193.2,217.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Placer",44,2023-10-29,2023-11-04,35035,969,410706,8530.4,235.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",45,2023-11-05,2023-11-11,36103,1055,410706,8790.5,256.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",46,2023-11-12,2023-11-18,36513,1113,410706,8890.3,271,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",47,2023-11-19,2023-11-25,36557,1148,410706,8901,279.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",48,2023-11-26,2023-12-02,36621,1160,410706,8916.6,282.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",49,2023-12-03,2023-12-09,36621,1167,410706,8916.6,284.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",50,2023-12-10,2023-12-16,36679,1172,410706,8930.7,285.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",51,2023-12-17,2023-12-23,36679,1172,410706,8930.7,285.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Placer",52,2023-12-24,2023-12-30,36679,1173,410706,8930.7,285.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",22,2023-05-28,2023-06-03,10,0,18955,52.8,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",23,2023-06-04,2023-06-10,13,0,18955,68.6,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",24,2023-06-11,2023-06-17,15,0,18955,79.1,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",25,2023-06-18,2023-06-24,24,0,18955,126.6,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",26,2023-06-25,2023-07-01,54,0,18955,284.9,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",27,2023-07-02,2023-07-08,95,0,18955,501.2,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",28,2023-07-09,2023-07-15,147,2,18955,775.5,10.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",29,2023-07-16,2023-07-22,180,4,18955,949.6,21.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",30,2023-07-23,2023-07-29,226,9,18955,1192.3,47.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",31,2023-07-30,2023-08-05,297,12,18955,1566.9,63.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",32,2023-08-06,2023-08-12,352,15,18955,1857,79.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",33,2023-08-13,2023-08-19,438,16,18955,2310.7,84.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",34,2023-08-20,2023-08-26,569,18,18955,3001.8,95,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",35,2023-08-27,2023-09-02,774,19,18955,4083.4,100.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",36,2023-09-03,2023-09-09,977,21,18955,5154.3,110.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",37,2023-09-10,2023-09-16,1159,29,18955,6114.5,153,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",38,2023-09-17,2023-09-23,1377,35,18955,7264.6,184.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Plumas",39,2023-09-24,2023-09-30,1567,46,18955,8266.9,242.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",40,2023-10-01,2023-10-07,1726,58,18955,9105.8,306,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",41,2023-10-08,2023-10-14,1898,66,18955,10013.2,348.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",42,2023-10-15,2023-10-21,2091,72,18955,11031.4,379.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",43,2023-10-22,2023-10-28,2220,77,18955,11711.9,406.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",44,2023-10-29,2023-11-04,2325,79,18955,12265.9,416.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Greater Sierra Sacramento","Plumas",45,2023-11-05,2023-11-11,2386,85,18955,12587.7,448.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",46,2023-11-12,2023-11-18,2410,90,18955,12714.3,474.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",47,2023-11-19,2023-11-25,2413,91,18955,12730.2,480.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",48,2023-11-26,2023-12-02,2415,94,18955,12740.7,495.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",49,2023-12-03,2023-12-09,2415,95,18955,12740.7,501.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",50,2023-12-10,2023-12-16,2418,95,18955,12756.5,501.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",51,2023-12-17,2023-12-23,2418,95,18955,12756.5,501.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Plumas",52,2023-12-24,2023-12-30,2418,95,18955,12756.5,501.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Greater Sierra Sacramento","Sacramento",22,2023-05-28,2023-06-03,972,0,1581831,61.4,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",23,2023-06-04,2023-06-10,1998,0,1581831,126.3,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",24,2023-06-11,2023-06-17,2859,34,1581831,180.7,2.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",25,2023-06-18,2023-06-24,5342,58,1581831,337.7,3.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",26,2023-06-25,2023-07-01,9507,92,1581831,601,5.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",27,2023-07-02,2023-07-08,14488,145,1581831,915.9,9.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",28,2023-07-09,2023-07-15,20692,237,1581831,1308.1,15,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",29,2023-07-16,2023-07-22,25556,366,1581831,1615.6,23.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",30,2023-07-23,2023-07-29,30843,518,1581831,1949.8,32.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",31,2023-07-30,2023-08-05,40081,660,1581831,2533.8,41.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",32,2023-08-06,2023-08-12,49231,803,1581831,3112.3,50.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",33,2023-08-13,2023-08-19,60886,1050,1581831,3849.1,66.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Greater Sierra Sacramento","Sacramento",34,2023-08-20,2023-08-26,78289,1276,1581831,4949.3,80.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
